22428	1	28989
22428	1	41075
22428	2	26718
22428	2	29716
24900	1	47286
24900	2	29716
3457	2	45322
3457	3	45152
3457	4	26263
3457	4	45163
3457	4	31584
2739	4	37600
526	3	36161
526	5	24939
526	5	27711
526	4	42508
4823	4	33134
5868	4	44034
5868	4	38706
5868	4	47459
5868	3	47285
5868	2	45322
5868	2	26718
24405	4	44303
8114	3	38668
8114	1	30468
8114	1	27329
8114	4	45163
8114	2	26718
1345	4	37256
22602	3	48601
22602	5	35764
4209	3	46489
4209	4	32116
4209	5	24939
4209	1	43205
4209	1	35239
4209	2	26718
2231	3	30278
2231	4	32116
2231	4	42508
24405	4	27661
10439	4	45163
10439	1	36116
10439	2	26718
1345	4	36797
24405	4	38445
8461	3	27843
8461	4	42508
8461	4	37473
8461	2	26718
8461	5	24939
8846	4	26243
8846	1	44069
8846	3	41722
2739	4	39378
402	2	45322
402	2	39238
402	1	40946
402	1	38639
402	1	42398
402	3	28005
402	3	31705
402	4	42508
402	4	34022
402	4	31584
1345	4	34130
6207	4	31522
1345	4	34684
24405	4	28047
24405	4	32008
4823	4	42145
24405	4	42145
19943	4	45163
24405	4	43662
16167	4	32475
2739	4	40634
2619	4	38706
2619	4	44034
2619	4	47459
2619	3	28755
2619	1	40057
2619	2	26718
2619	5	24939
24405	4	29472
24405	4	40573
12712	3	28085
12712	2	26718
12712	2	39238
12712	4	31584
12712	4	26243
12712	1	31776
12712	1	26105
12712	1	29524
24405	4	32986
7470	3	27429
7470	4	38706
7470	4	44034
7470	4	47459
7470	1	35239
7470	5	24939
7470	2	26718
24405	4	27718
10011	3	29911
10011	2	45322
10011	4	38706
10011	4	47459
1917	4	27818
2739	4	42615
20694	3	44639
20694	5	24939
20694	4	40798
4844	3	29652
4844	1	37756
4844	1	38031
4844	1	36008
4844	1	25116
4844	1	37191
4844	2	26718
4844	2	45322
4844	4	45163
4844	5	24939
4823	4	43631
24405	4	43631
24405	4	41913
2739	4	33251
24405	4	35404
7225	3	46074
16051	1	30917
16051	2	45322
16051	2	26718
16051	3	40882
16051	4	31584
11179	3	37543
1574	1	26085
1574	2	45322
1574	3	41887
1574	4	40473
5875	4	31942
13634	1	28989
13634	3	32119
11305	3	28734
11305	1	45440
24405	4	42225
1411	4	26243
1411	4	31584
1411	2	39238
21429	5	24939
21429	1	28989
22664	4	26243
21229	4	45163
2739	4	39661
3315	4	38706
3315	4	47459
10505	4	26243
2739	4	32745
24405	4	41132
14208	3	35450
14208	4	47471
14208	1	29166
14208	2	26718
13836	4	30867
13836	5	24939
4823	4	32217
24405	4	32217
5875	4	35345
17257	3	48606
17257	2	26718
18751	3	35919
24405	4	36538
15795	1	47975
15795	1	42493
