1,3769,2,1240012800
1,6,2,919382400
1,19,1,997142400
1,22431,2,1339804800
1,7,1,952732800
1,31,2,1073692800
2,10185,2,1267833600
2,51,2,1258243200
2,48,2,1249344000
2,10242,2,1307232000
3,6676,2,1311292800
3,63,1,981331200
3,58,1,975974400
4,90,2,1024963200
4,193,2,1298764800
4,151,2,1176422400
4,8721,2,1341878400
4,133,2,1130889600
4,97,1,1037923200
4,1169,2,1316390400
4,168,2,1213747200
4,162,2,1199750400
4,154,2,1187740800
4,131,2,1126224000
4,141,2,1149379200
4,94,2,1031788800
4,70,2,948672000
5,202,1,860371200
5,15746,2,1366675200
5,284,2,1032134400
5,228,2,915580800
5,212,2,876182400
5,3614,1,1293062400
5,205,2,862099200
5,312,2,1084665600
5,245,1,931046400
5,235,2,921888000
5,268,1,989884800
5,213,2,883785600
5,214,2,884736000
5,224,1,906681600
5,263,2,968371200
5,252,2,942710400
5,258,2,957139200
5,737,2,1327190400
5,12396,2,1151280000
5,291,2,1042070400
5,280,2,1027382400
5,8556,1,1349395200
5,231,2,920332800
5,216,1,889747200
5,254,2,948412800
5,20461,1,1344556800
5,3435,1,1343433600
5,304,1,1066780800
5,24,1,873072000
5,11098,1,1336435200
6,322,2,966556800
6,328,2,1006214400
6,325,2,994118400
6,331,2,1113782400
7,371,2,1115510400
7,338,2,905644800
7,351,2,1026604800
9,1870,1,1172793600
9,1905,2,1112227200
9,415,2,1028851200
9,4263,2,1154908800
9,425,2,1112227200
9,420,2,1076457600
9,423,1,1086825600
9,402,2,866073600
11,469,2,1257724800
11,434,2,866937600
12,483,2,997920000
12,434,2,868579200
12,507,2,1256083200
12,504,1,1253836800
15,826,1,1171152000
15,811,2,1032739200
15,635,2,1066003200
15,287,2,1055116800
15,210,1,871257600
15,815,1,1061337600
15,7006,2,1222732800
15,799,2,872121600
15,813,1,1039046400
15,821,2,1095984000
15,824,1,1125014400
15,5353,1,1251763200
15,816,2,1067212800
15,827,2,1177113600
15,800,2,939859200
15,6917,1,1267401600
15,2964,2,1206748800
16,832,1,1142467200
16,9038,2,1347408000
16,831,1,1120867200
16,830,1,953510400
16,833,2,1165536000
20,1008,2,895276800
20,1046,2,1034380800
20,1007,2,885686400
20,20006,2,1348358400
20,350,1,964742400
20,1121,2,1216944000
